日期,销量
2019-04-27,897
2019-04-28,960
2019-04-29,944
2019-04-30,956
2019-05-01,977
2019-05-02,1001
2019-05-03,938
2019-05-04,931
2019-05-05,955
2019-05-06,949
2019-05-07,983
2019-05-08,938
2019-05-09,995
2019-05-10,1013
2019-05-11,1046
2019-05-12,1015
2019-05-13,1017
2019-05-14,1034
2019-05-15,1066
2019-05-16,1002
2019-05-17,1012
2019-05-18,1045
2019-05-19,1020
2019-05-20,1019
2019-05-21,1047
2019-05-22,1020
2019-05-23,1062
2019-05-24,1101
2019-05-25,1030
2019-05-26,1051
2019-05-27,1088
2019-05-28,1042
2019-05-29,1081
2019-05-30,1102
2019-05-31,1136
2019-06-01,1061
2019-06-02,1084
2019-06-03,1156
2019-06-04,1104
2019-06-05,1080
2019-06-06,1153
2019-06-07,1159
2019-06-08,1129
2019-06-09,1154
2019-06-10,1163
2019-06-11,1132
2019-06-12,1175
2019-06-13,1120
2019-06-14,1150
2019-06-15,1188
2019-06-16,1188
2019-06-17,1202
2019-06-18,1212
2019-06-19,1202
2019-06-20,1246
2019-06-21,1170
2019-06-22,1235
2019-06-23,1251
2019-06-24,1194
2019-06-25,1262
2019-06-26,1190
2019-06-27,1225
2019-06-28,1243
2019-06-29,1246
2019-06-30,1207
2019-07-01,1254
2019-07-02,1275
2019-07-03,1234
2019-07-04,1252
2019-07-05,1318
2019-07-06,1258
2019-07-07,1277
2019-07-08,1306
2019-07-09,1273
2019-07-10,1268
2019-07-11,1307
2019-07-12,1292
2019-07-13,1349
2019-07-14,1307
2019-07-15,1339
2019-07-16,1295
2019-07-17,1322
2019-07-18,1341
2019-07-19,1313
2019-07-20,1359
2019-07-21,1404
2019-07-22,1360
2019-07-23,1326
2019-07-24,1417
2019-07-25,1409
2019-07-26,1333
2019-07-27,1341
2019-07-28,1374
2019-07-29,1427
2019-07-30,1350
2019-07-31,1432
2019-08-01,1379
2019-08-02,1374
2019-08-03,1415
2019-08-04,1452
2019-08-05,1401
2019-08-06,1429
2019-08-07,1460
2019-08-08,1485
2019-08-09,1447
2019-08-10,1492
2019-08-11,1489
2019-08-12,1436
2019-08-13,1486
2019-08-14,1478
2019-08-15,1458
2019-08-16,1504
2019-08-17,1532
2019-08-18,1495
2019-08-19,1459
2019-08-20,1511
2019-08-21,1507
2019-08-22,1503
2019-08-23,1475
2019-08-24,1538
2019-08-25,1543
2019-08-26,1544
2019-08-27,1544
2019-08-28,1585
2019-08-29,1552
2019-08-30,1537
2019-08-31,1584
2019-09-01,1581
2019-09-02,1538
2019-09-03,1592
2019-09-04,1612
2019-09-05,1591
2019-09-06,1601
2019-09-07,1550
2019-09-08,1566
2019-09-09,1651
2019-09-10,1595
2019-09-11,1572
2019-09-12,1618
2019-09-13,1605
2019-09-14,1587
2019-09-15,1631
2019-09-16,1637
2019-09-17,1683
2019-09-18,1616
2019-09-19,1675
2019-09-20,1639
2019-09-21,1616
2019-09-22,1683
2019-09-23,1649
2019-09-24,1696
2019-09-25,1671
2019-09-26,1673
2019-09-27,1667
2019-09-28,1701
2019-09-29,1718
2019-09-30,1725
2019-10-01,1720
2019-10-02,1747
2019-10-03,1719
2019-10-04,1766
2019-10-05,1717
2019-10-06,1703
2019-10-07,1705
2019-10-08,1778
2019-10-09,1726
2019-10-10,1776
2019-10-11,1769
2019-10-12,1768
2019-10-13,1796
2019-10-14,1815
2019-10-15,1781
2019-10-16,1820
2019-10-17,1829
2019-10-18,1826
2019-10-19,1835
2019-10-20,1798
2019-10-21,1796
2019-10-22,1861
2019-10-23,1809
2019-10-24,1825
2019-10-25,1826
2019-10-26,1795
2019-10-27,1846
2019-10-28,1829
2019-10-29,1857
2019-10-30,1865
2019-10-31,1835
2019-11-01,1910
2019-11-02,1825
2019-11-03,1898
2019-11-04,1923
2019-11-05,1933
2019-11-06,1889
2019-11-07,1886
2019-11-08,1861
2019-11-09,1959
2019-11-10,1949
2019-11-11,1959
2019-11-12,1946
2019-11-13,1931
2019-11-14,1979
2019-11-15,1947
2019-11-16,1912
2019-11-17,1986
2019-11-18,1941
2019-11-19,1991
2019-11-20,2001
2019-11-21,1979
2019-11-22,2000
2019-11-23,2023
2019-11-24,1961
2019-11-25,1992
2019-11-26,2031
2019-11-27,1966
2019-11-28,1984
2019-11-29,2035
2019-11-30,1971
2019-12-01,2015
2019-12-02,1983
2019-12-03,2005
2019-12-04,2038
2019-12-05,2086
2019-12-06,2041
2019-12-07,2059
2019-12-08,2083
2019-12-09,2026
2019-12-10,2109
2019-12-11,2100
2019-12-12,2041
2019-12-13,2065
2019-12-14,2095
2019-12-15,2129
2019-12-16,2069
2019-12-17,2114
2019-12-18,2091
2019-12-19,2127
2019-12-20,2129
2019-12-21,2156
2019-12-22,2099
2019-12-23,2157
2019-12-24,2096
2019-12-25,2149
2019-12-26,2178
2019-12-27,2135
2019-12-28,2161
2019-12-29,2171
2019-12-30,2199
2019-12-31,2215
